keys,tr
This device's save and the cloud copy,Bu cihazdaki kayıt ve buluttaki kopya
Tap again to delete everything,Her şeyi silmek için tekrar dokun
Your data was deleted.,Verilerin silindi.
Local data deleted — the cloud copy could not be reached.,Yerel veri silindi — buluttaki kopyaya ulaşılamadı.
Reset save,Kaydı sıfırla
Erases all progress permanently,Tüm ilerlemeyi kalıcı olarak siler
Save reset — a new game has begun!,Kayıt sıfırlandı — yeni bir oyun başladı!
Tap again to reset,Sıfırlamak için tekrar dokun
Achievements,Başarımlar
"Every quest is done. Congratulations, hotelier!","Bütün görevler bitti. Tebrikler, otelci!"
Reward: %s coins,Ödül: %s altın
Quests completed: %d / %d,Tamamlanan görev: %d / %d
Next up,Sırada
Achievements — %d / %d unlocked,Başarımlar — %d / %d açıldı
Quest complete: %s — +%s coins,Görev tamam: %s — +%s altın
Achievement unlocked: %s — +%s coins,Başarım açıldı: %s — +%s altın
Away for %s,%s uzaktaydın
 · capped at %s of hotel time, · otel zamanının %s kadarıyla sınırlı
Welcome back!,Tekrar hoş geldin!
Your hotel didn't sit idle when the shift ended: it auto-renewed %s (staff cost %s coins).,Vardiya bitince otelin boş durmadı: %s otomatik yenilendi (personel maliyeti %s altın).
%s coins earned,%s altın kazandın
Watch an ad — double it,Reklam izle — ikiye katla
Offline earnings doubled — +%s coins!,Çevrimdışı kazanç ikiye katlandı — +%s altın!
%dd %dh,%dg %dsa
%dh %dm,%dsa %ddk
%dm,%ddk
Daily Reward,Günlük Ödül
Day %d streak!,%d. gün serisi!
Your reward: %s,Ödülün: %s
Claim,Al
Daily reward claimed — day %d streak!,Günlük ödül alındı — %d. gün serisi!
Linking with Google is not available in this build.,Bu sürümde Google ile bağlama kullanılamıyor.
Sign-in is already in progress — finish it in your browser.,Giriş zaten sürüyor — tarayıcında tamamla.
Cloud save is not enabled in this build.,Bu sürümde bulut kaydı kapalı.
No Google account is linked on this device.,Bu cihazda bağlı bir Google hesabı yok.
Sign-in is still in progress — finish or cancel it first.,Giriş hâlâ sürüyor — önce tamamla ya da iptal et.
Account disconnected. Your progress stays on this device.,Hesap ayrıldı. İlerlemen bu cihazda kalır.
Google sign-in was declined.,Google girişi reddedildi.
Sign-in took too long in the browser — try again from here.,Tarayıcıdaki giriş çok uzun sürdü — buradan tekrar dene.
Sign-in needs the game open — try again and come straight back.,Giriş için oyunun açık olması gerekir — tekrar dene ve hemen geri dön.
Google could not be reached — check your connection and try again.,Google'a ulaşılamadı — bağlantını kontrol edip tekrar dene.
That sign-in expired before it finished — please try again.,O giriş tamamlanmadan zaman aşımına uğradı — lütfen tekrar dene.
This build's Google sign-in is misconfigured; please contact support.,Bu sürümün Google girişi hatalı yapılandırılmış; lütfen destekle iletişime geç.
Google sign-in was not completed.,Google girişi tamamlanmadı.
You're signed in,Giriş yaptın
Sign-in cancelled,Giriş iptal edildi
You can close this tab and return to Little Grand Hotel.,Bu sekmeyi kapatıp Little Grand Hotel'e dönebilirsin.
Nothing was changed. You can close this tab and try again from the game.,Hiçbir şey değişmedi. Bu sekmeyi kapatıp oyundan tekrar deneyebilirsin.
Open the Doors,Kapıları Aç
Start your first shift.,İlk vardiyanı başlat.
First Harvest,İlk Hasat
Collect income from the till.,Kasadan gelir topla.
Spotless,Tertemiz
Clean 3 rooms.,3 oda temizle.
Cozy Corner,Rahat Köşe
Raise a room to the Cozy tier (SP 60+).,Bir odayı Rahat seviyesine çıkar (SP 60+).
Growing Fast,Hızlı Büyüme
Reach 3 rooms.,3 odaya ulaş.
Coffee Break,Kahve Molası
Open a Cafe.,Bir Kafe aç.
Invisible Hand,Görünmez El
Build Housekeeping — let rooms clean themselves.,Kat Hizmetleri kur — odalar kendi kendini temizlesin.
Three Stars,Üç Yıldız
Reach a 3-star rating.,3 yıldız puanına ulaş.
Chic Touch,Şık Dokunuş
Raise a room to the Chic tier (SP 150+).,Bir odayı Şık seviyesine çıkar (SP 150+).
Cash Flow,Nakit Akışı
"Collect 10,000 coins in total.",Toplamda 10.000 altın topla.
Going Up,Yukarı Doğru
Open the 3rd floor.,3. katı aç.
Workout Time,Spor Zamanı
Open a Gym.,Bir Spor Salonu aç.
Four Stars,Dört Yıldız
Reach a 4-star rating.,4 yıldız puanına ulaş.
The Luxe Life,Lüks Hayat
Raise a room to the Luxe tier (SP 300+).,Bir odayı Lüks seviyesine çıkar (SP 300+).
Poolside,Havuz Başı
Open a Pool.,Bir Havuz aç.
Empire,İmparatorluk
Reach 10 rooms.,10 odaya ulaş.
Five Stars,Beş Yıldız
5 stars — the best hotel in town!,5 yıldız — şehrin en iyi oteli!
Dinner Service,Akşam Servisi
Open a Restaurant — let the kitchen scent fill the lobby.,Bir Restoran aç — mutfağın kokusu lobiyi sarsın.
Sky Garden,Gökyüzü Bahçesi
Open a Roof Garden — quiet with a city view.,Bir Çatı Bahçesi aç — şehir manzaralı ve sessiz.
Full House,Dolu Otel
Reach 16 rooms — a proper empire.,16 odaya ulaş — tam bir imparatorluk.
Try the Duster,Tozluğu Dene
Clean your first room.,İlk odanı temizle.
Fifty Cleanups,Elli Temizlik
Clean 50 rooms.,50 oda temizle.
Hundred Collections,Yüz Toplama
Collect from the till 100 times.,Kasadan 100 kez topla.
Hundred Thousand Coins,Yüz Bin Altın
"Collect 100,000 coins in total.",Toplamda 100.000 altın topla.
Millionaire Hotelier,Milyoner Otelci
"Collect 1,000,000 coins in total.",Toplamda 1.000.000 altın topla.
Fifty Shifts,Elli Vardiya
Start 50 shifts.,50 vardiya başlat.
Hundred Shifts,Yüz Vardiya
Start 100 shifts.,100 vardiya başlat.
Eight Rooms,Sekiz Oda
Reach 8 rooms.,8 odaya ulaş.
Twenty Rooms,Yirmi Oda
Reach 20 rooms.,20 odaya ulaş.
All the Way Up,En Tepeye
Unlock every floor.,Bütün katları aç.
Five-Star Legend,Beş Yıldızlı Efsane
Reach a 5-star rating.,5 yıldız puanına ulaş.
Level 20,Seviye 20
Reach level 20.,20. seviyeye ulaş.
Level 30,Seviye 30
Reach level 30.,30. seviyeye ulaş.
Standard Room,Standart Oda
Deluxe Room,Deluxe Oda
Suite,Süit
Cafe,Kafe
Gym,Spor Salonu
Pool,Havuz
Cinema,Sinema
Spa,Spa
Restaurant,Restoran
Roof Garden,Çatı Bahçesi
Basic,Sade
Cozy,Rahat
Chic,Şık
Luxe,Lüks
Iconic,İkonik
Plain Wallpaper,Düz Duvar Kâğıdı
Plain Floor,Düz Zemin
Simple Bed,Basit Yatak
Wooden Bed,Ahşap Yatak
Canopy Bed,Cibinlikli Yatak
Desk Lamp,Masa Lambası
Potted Fern,Saksı Eğreltisi
Wall Art,Duvar Tablosu
Armchair,Koltuk
Wool Rug,Yün Halı
Oak Wardrobe,Meşe Gardırop
Gilded Mirror,Yaldızlı Ayna
Velvet Sofa,Kadife Kanepe
Crystal Chandelier,Kristal Avize
Golden Statue,Altın Heykel
Royal Aquarium,Kraliyet Akvaryumu
Comfort Set,Konfor Seti
Wooden Set,Ahşap Set
Royal Set,Kraliyet Seti
